Mods count: 113
 
                                      jar name                                        |    notes     |                mod id                |                                   mod name                                   |          mod version           |                                                                                                                                                                                                                                                                                                                                                                                                                                            mixin configs                                                                                                                                                                                                                                                                                                                                                                                                                                            |              modrinth hash               | curseforge hash
    /META-INF/jars/c2me-notickvd-mc1.21.1-0.3.0+alpha.0.93.jar                        |              | c2me_notickvd                        | Concurrent Chunk Management Engine (No Tick View Distance)                   | 0.3.0+alpha.0.93+1.21.1        | c2me-notickvd.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-opts-allocs-mc1.21.1-0.3.0+alpha.0.93.jar                     |              | c2me_opts_allocs                     | Concurrent Chunk Management Engine (Optimizations/Memory Allocations)        | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-allocs.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |                                          |                
    /META-INF/jars/c2me-opts-chunkio-mc1.21.1-0.3.0+alpha.0.93.jar                    |              | c2me_opts_chunkio                    | Concurrent Chunk Management Engine (Optimizations/Chunk IO)                  | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-chunkio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jars/c2me-opts-dfc-mc1.21.1-0.3.0+alpha.0.93.jar                        |              | c2me_opts_dfc                        | Concurrent Chunk Management Engine (Optimizations/Density Function Compiler) | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-dfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/c2me-opts-math-mc1.21.1-0.3.0+alpha.0.93.jar                       |              | c2me_opts_math                       | Concurrent Chunk Management Engine (Optimizations/Math)                      | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
    /META-INF/jars/c2me-opts-natives-math-mc1.21.1-0.3.0+alpha.0.93.jar               |              | c2me_opts_natives_math               | Concurrent Chunk Management Engine (Optimizations/Natives Math)              | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-natives-math.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/c2me-opts-scheduling-mc1.21.1-0.3.0+alpha.0.93.jar                 |              | c2me_opts_scheduling                 | Concurrent Chunk Management Engine (Optimizations/Scheduling)                | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-scheduling.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/c2me-opts-worldgen-general-mc1.21.1-0.3.0+alpha.0.93.jar           |              | c2me_opts_worldgen_general           | Concurrent Chunk Management Engine (Optimizations/General WorldGen)          | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-worldgen-general.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/c2me-opts-worldgen-vanilla-mc1.21.1-0.3.0+alpha.0.93.jar           |              | c2me_opts_worldgen_vanilla           | Concurrent Chunk Management Engine (Optimizations/Vanilla WorldGen)          | 0.3.0+alpha.0.93+1.21.1        | c2me-opts-worldgen-vanilla.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/c2me-rewrites-chunk-serializer-mc1.21.1-0.3.0+alpha.0.93.jar       |              | c2me_rewrites_chunk_serializer       | Concurrent Chunk Management Engine (Rewrites/Chunk Serializer)               | 0.3.0+alpha.0.93+1.21.1        | c2me-rewrites-chunk-serializer.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
